I01TUgSxN,2019-07-31 11:10:00,786,127,140,#我爱中国#【第72集团军时刻准备着！】为战而生、向战而行，紧跟形势任务，赓续红色基因，改革强军，谋战胜战，第72集团军时刻准备着！戳↓看#中国集团军的超燃瞬间#！央视新闻的秒拍视频07月31日11:10关注她举报收藏操作,https://weibo.com/1618051664/I01TUgSxN
I025PD6PW,2019-07-31 11:40:00,782,109,637,#开饭啦#【土豆的花样吃法】土豆到底是神马神仙食材呀，居然有这么多诱人吃法，我先码为敬！人人视频的秒拍视频07月31日11:40关注她举报收藏操作,https://weibo.com/1618051664/I025PD6PW
I02BD9gKe,2019-07-31 12:58:00,2498,223,113,【优秀！#武磊拒绝在国旗上签名#：国旗上不能签】日前，西班牙人客战谢周三，@武磊7打满全场并贡献绝平进球。赛前当地有很多球迷找到武磊要签名，其中一位球迷没准备照片球衣想让武磊签在助威的国旗上，武磊马上拒绝并表示国旗不能签，赞了赞了！皇家西班牙人足球俱乐部的微博视频07月31日12:58关注她举报收藏操作,https://weibo.com/1618051664/I02BD9gKe
I02go7jUD,2019-07-31 12:06:00,876,163,61,"【羡慕！日本""十连休""后""九连休""主妇不干了:比平时还累！】#日本人八月九连休#继日本最长五月黄金周“十连休”后，日本人又将迎来“九连休”。据日本共同社31日报道，今年8月11日是日本节日“山之日”。因为是周日，第二天周一也休息，算上周六，10日-12日就是3连休。之后是8月中旬的盂兰盆节，日本人都要休几天回老家祭祖，也是全家团员的日子。日本各地放假日期不一样，一般是13日-15日。这就是6连休了。而如果16日也休息一天，就连上了之后的周末，总计9连休。（海外网）[组图共2张]",https://weibo.com/1618051664/I02go7jUD
I02Lew7y7,2019-07-31 13:22:00,210,38,55,#我爱中国##百城献礼70华诞#五百里滇池春潮涌，一千年名城花盛开。昆明三面环山，南濒滇池，风光绮丽，四季如春。这里有多彩的民族、明媚的阳光、独特的石林，还有致鲜的美食。距新中国成立70周年纪念日还有62天，说说看你还知道什么避暑胜地吗？我爱中国,https://weibo.com/1618051664/I02Lew7y7
I02q8oqIT,2019-07-31 12:30:00,222221,3080,1903,"【迪拜""逃跑王妃""申请保护令让孩子免受包办婚姻】#迪拜王妃出逃原因#迪拜“逃跑王妃”哈雅公主携两名子女逃到英国伦敦，将这场离婚官司从中东“打到”了英国。30日，她在初步听证会中，申请了强制婚姻保护令，打算用这种方法，让自己的孩子免于被迫接受包办婚姻。穆罕默德的两个女儿此前也选择逃离王室生活。接近哈雅公主的知情人士表示，她的出逃和去年迪拜公主拉蒂法出逃未遂有关。（海外网）[组图共2张]",https://weibo.com/1618051664/I02q8oqIT
I02VN3nyX,2019-07-31 13:48:00,1644,191,97,【美国“古董”飞机坠毁致中国学员死亡，#中国在美遇难学员是家中独子#】28日，美国得州登顿飞行培训学院飞机坠毁，1名中国学员和1名女教练身亡。遇难学员来自北京航空航天大学，是中国南方航空公司委培学员。该校学生称航校对此事故有不可推卸的责任，遇难教练在最后一次上机前曾因飞机存在故障要求更换飞机，却被拒绝。遇难者堂弟称哥哥是家中独子，其父母正计划赶赴美国处理后事。紧急呼叫的秒拍视频07月31日13:48关注她举报收藏操作,https://weibo.com/1618051664/I02VN3nyX
I032Wzw7e,2019-07-31 14:05:00,77647,7681,8418,#台湾自由行签注#【文旅部：明起47城大陆居民赴台个人游试点暂停】#47城大陆居民赴台个人游试点暂停#鉴于当前两岸关系，决定自2019年8月1日起暂停47个城市大陆居民赴台个人游试点。特此公告。（文化和旅游部政府门户网站）,https://weibo.com/1618051664/I032Wzw7e
I03EKt8vu,2019-07-31 15:38:00,200,43,64,#神仙爱情里的小事#最好的爱情是什么？也许是两个人在冥冥之中相遇，在平淡中相知，在相守中相爱，在琐碎的生活中相惜吧❤️#七夕一日餐厅#@我就吃一口冰淇淋@Mi小米@追玫瑰花的小黄狗儿@丑丑龚@假装是热搜_@池希扬@名字是石明@春风十里不如换个网名@Mint丶孟德尔和小西瓜[组图共9张],https://weibo.com/1618051664/I03EKt8vu
I03eRAAB5,2019-07-31 14:35:00,2997,883,217,【铁轨旁拍视频被火车掀翻铁警怒斥情侣：不能拿人的生命做赌注！】#情侣铁轨拍照被吹翻#7月28日，广东兴宁的3名青年男女爬上铁轨，想抓拍“火车呼啸而过”“发梢飘起”的画面，不料火车驶来掀起巨大风力，两人摔倒，女孩头部和腿部，男子背部当场受伤。据悉，列车司机发现时立即鸣笛警示和采取制动措施，但3人为追求效果，仍然站在原处，最后造成严重后果。民警表示，3名青年为了“晒圈”和刷“点击率”爬铁轨拍视频的行为不仅严重违法，也使铁路行车安全隐患剧增。铁路警方提醒，不能为了点赞数，拿自己的生命做赌注。燃新闻的秒拍视频07月31日14:35关注她举报收藏操作,https://weibo.com/1618051664/I03eRAAB5
